Months,2008,2009,2010,2011,2012,2013
1,12.73,12.62,11.73,10.76,13.18,13.15
2,12.75,12.67,11.77,10.78,13.19,13.15
3,12.68,12.67,11.76,10.76,13.17,13.12
4,12.63,12.64,11.73,10.70,13.11,13.07
5,12.56,11.77,11.36,10.44,12.79,12.86
6,12.50,10.29,11.06,10.10,12.46,12.57
7,12.22,9.78,10.32,9.73,12.01,12.30
8,11.28,9.53,9.91,9.41,11.56,12.00
9,9.80,9.11,9.71,9.19,11.04,11.75
10,9.03,8.60,9.45,8.93,10.67,11.54
11,8.45,8.21,9.07,8.70,10.29,11.34
12,8.36,7.95,8.56,8.42,9.86,11.20
13,8.38,7.62,8.43,8.23,9.54,11.05
14,8.22,7.31,8.03,8.03,9.18,10.97
15,7.36,7.08,7.89,7.85,8.89,10.92
16,6.49,6.79,7.71,7.74,8.62,10.90
17,6.26,6.74,7.57,7.58,8.44,,
18,6.03,6.47,7.50,7.42,8.22,,
19,5.22,6.39,7.41,7.22,8.09,,
20,4.52,6.38,7.31,7.13,7.95,,
21,3.87,6.22,7.22,7.06,7.84,,
22,3.80,6.16,7.10,6.91,7.78,,
23,3.43,6.05,7.03,6.86,7.72,,
24,3.24,5.98,6.97,6.79,7.67,,
25,2.98,5.81,6.90,6.71,7.65,,
26,2.84,5.74,6.81,6.61,7.62,,
27,2.78,5.66,6.78,6.52,7.61,,
28,2.71,5.57,6.75,6.44,7.61,,
29,2.63,5.56,6.68,6.38,7.61,,
30,2.67,5.48,6.64,6.34,,,
31,2.64,5.44,6.60,6.30,,,
32,2.62,5.41,6.55,6.27,,,
33,2.60,5.37,6.51,6.26,,,
34,2.58,5.30,6.46,6.24,,,
35,2.49,5.30,6.40,6.22,,,
36,2.43,5.27,6.37,6.21,,,